Date,Description,Amount
2026-01-15,DIRECT DEPOSIT - EMPLOYER PAYROLL,4250.0
2026-02-15,DIRECT DEPOSIT - EMPLOYER PAYROLL,4250.0
2026-01-03,STARBUCKS #3421 SEATTLE WA,-6.75
2026-01-05,DOORDASH*CHIPOTLE ORDER,-18.5
2026-01-10,MCDONALD'S #8821,-9.2
2026-01-12,UBER EATS DELIVERY FEE,-4.99
2026-01-18,STARBUCKS #3421 SEATTLE WA,-5.8
2026-01-22,PANERA BREAD #1043,-14.3
2026-02-02,CHIPOTLE ONLINE ORDER,-22.1
2026-02-08,DUNKIN #5512,-7.45
2026-02-14,POSTMATES DELIVERY,-13.2
2026-01-04,WHOLE FOODS MARKET #478,-87.32
2026-01-19,TRADER JOE'S SEATTLE WA,-63.18
2026-02-05,WHOLE FOODS MARKET #478,-91.5
2026-02-20,SAFEWAY STORE #0934,-54.77
2026-01-07,UBER* TRIP XJWQ9,-14.25
2026-01-14,SHELL OIL #5634,-52.0
2026-01-21,LYFT RIDE JAN21,-11.5
2026-02-03,UBER* TRIP ABC123,-16.8
2026-02-10,CHEVRON GAS STATION,-48.2
2026-02-18,MTA TRANSIT MONTHLY,-127.0
2026-01-06,PG&E ELECTRIC JAN,-124.33
2026-01-06,AT&T MOBILE BILL,-85.0
2026-02-06,PG&E ELECTRIC FEB,-118.5
2026-02-06,VERIZON WIRELESS,-90.0
2026-01-01,NETFLIX.COM,-15.99
2026-01-01,SPOTIFY PREMIUM,-9.99
2026-02-01,NETFLIX.COM,-15.99
2026-02-01,SPOTIFY PREMIUM,-9.99
2026-01-20,STEAM PURCHASE GAME,-29.99
2026-01-08,AMAZON.COM*3BF72 ORDER,-84.99
2026-01-15,TARGET STORE #4821,-43.28
2026-01-25,AMAZON.COM*8GH21 ORDER,-127.0
2026-02-09,BEST BUY #583,-199.0
2026-02-22,AMAZON.COM*1KL44 ORDER,-52.49
2026-01-11,CVS PHARMACY #4312,-34.2
2026-02-13,WALGREENS #8821,-28.6
2026-01-27,PLANET FITNESS MONTHLY,-24.99
2026-01-28,DELTA AIRLINES TKT#,-342.0
2026-02-25,AIRBNB * RESERVAT,-285.0
2026-01-09,JONES HARDWARE SUPPLY CO,-47.5
2026-01-16,GREENLEAF ACCOUNTING SVCS,-150.0
2026-02-11,BLUE MOON FLORIST,-65.0
